Datum;Gehege;Tierart;TubeCam;Wildtierkamera;von;foto_von;bis;foto_bis;verweildauer;erscheint_ploetzlich;verschwindet_ploetzlich;Bemerkung;Versuchstyp;exposure_time;frames_per_sequence;frames_per_second;material;LEDS
12.05.2017;A;Hermelin;S04;;15:13:59;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_A_S04\S04\S0254I00.JPG;15:14:06;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_A_S04\S04\S0254I59.JPG;00:00:07;TRUE;;Tier taucht plötzlich auf;versuchsphase;1/300;12;8;pvc;8
12.05.2017;A;Hermelin;S04;;15:22:34;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_A_S04\S04\S0262I00.JPG;15:22:36;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_A_S04\S04\S0262I15.JPG;00:00:02;;;;versuchsphase;1/300;12;8;pvc;8
12.05.2017;A;Hermelin;S04;;15:22:40;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_A_S04\S04\S0262I44.JPG;15:22:42;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_A_S04\S04\S0262I59.JPG;00:00:02;;TRUE;Tier verschwindet plötzlich;versuchsphase;1/300;12;8;pvc;8
12.05.2017;A;Hermelin;S04;;15:26:39;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_A_S04\S04\S0264I00.JPG;15:26:46;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_A_S04\S04\S0264I59.JPG;00:00:07;;TRUE;Tier verschwindet plötzlich;versuchsphase;1/300;12;8;pvc;8
12.05.2017;C;Hermelin;S04;;15:36:12;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_C_S04\S04\S0267I01.JPG;15:36:13;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_C_S04\S04\S0267I10.JPG;00:00:01;;;;versuchsphase;1/300;12;8;pvc;8
12.05.2017;C;Hermelin;S04;;15:36:15;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_C_S04\S04\S0267I20.JPG;15:36:19;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_C_S04\S04\S0267I59.JPG;00:00:04;;TRUE;Tier verschwindet plötzlich;versuchsphase;1/300;12;8;pvc;8
12.05.2017;C;Hermelin;S04;;15:38:45;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_C_S04\S04\S0268I00.JPG;15:38:45;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_C_S04\S04\S0268I03.JPG;00:00:00;;;;versuchsphase;1/300;12;8;pvc;8
12.05.2017;C;Hermelin;S04;;15:38:37;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_C_S04\S04\S0268I16.JPG;15:38:42;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_C_S04\S04\S0268I59.JPG;00:00:05;;TRUE;Tier verschwindet plötzlich;versuchsphase;1/300;12;8;pvc;8
12.05.2017;C;Hermelin;S04;;15:40:58;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_C_S04\S04\S0269I00.JPG;15:41:01;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_C_S04\S04\S0269I27.JPG;00:00:03;TRUE;;Tier taucht plötzlich auf;versuchsphase;1/300;12;8;pvc;8
12.05.2017;C;Hermelin;S04;;15:43:57;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_C_S04\S04\S0270I11.JPG;15:44:03;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_C_S04\S04\S0270I56.JPG;00:00:06;;;;versuchsphase;1/300;12;8;pvc;8
12.05.2017;C;Hermelin;S04;;15:55:25;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_C_S04\S04\S0273I00.JPG;15:55:32;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_C_S04\S04\S0273I59.JPG;00:00:07;;TRUE;Tier verschwindet plötzlich;versuchsphase;1/300;12;8;pvc;8
12.05.2017;C;Hermelin;S04;;16:06:06;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_C_S04\S04\S0277I00.JPG;16:06:13;Daten_Erhebung\2017_05_12_Stichprobentests\Gehege_C_S04\S04\S0277I59.JPG;00:00:07;;;;versuchsphase;1/300;12;8;pvc;8
13.05.2017;D;Hermelin;S04;;10:51:02;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0288I06.JPG;10:51:08;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0288I59.JPG;00:00:06;;TRUE;Tier verschwindet plötzlich;versuchsphase;1/300;12;8;pvc;8
13.05.2017;D;Hermelin;S04;;10:57:40;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0290I07.JPG;10:57:46;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0290I59.JPG;00:00:06;;;;versuchsphase;1/300;12;8;pvc;8
13.05.2017;D;Hermelin;S04;;11:04:16;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0292I00.JPG;11:04:23;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0292I59.JPG;00:00:07;;;;versuchsphase;1/300;12;8;pvc;8
13.05.2017;D;Hermelin;S04;;11:29:43;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0293I03.JPG;11:29:50;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0293I59.JPG;00:00:07;;;;versuchsphase;1/300;12;8;pvc;8
13.05.2017;D;Hermelin;S04;;11:42:46;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0295I02.JPG;11:42:49;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0295I12.JPG;00:00:03;;;;versuchsphase;1/300;12;8;pvc;8
13.05.2017;D;Hermelin;S04;;11:32:52;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0295I37.JPG;11:32:55;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0295I59.JPG;00:00:03;;;;versuchsphase;1/300;12;8;pvc;8
13.05.2017;D;Hermelin;S04;;12:50:49;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0299I25.JPG;12:50:53;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0299I59.JPG;00:00:04;;TRUE;Tier verschwindet plötzlich;versuchsphase;1/300;12;8;pvc;8
13.05.2017;D;Hermelin;S04;;12:56:47;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0301I00.JPG;12:56:49;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0301I17.JPG;00:00:02;;;;versuchsphase;1/300;12;8;pvc;8
13.05.2017;D;Hermelin;S04;;12:56:53;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0301I51.JPG;12:56:54;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0301I54.JPG;00:00:01;;;;versuchsphase;1/300;12;8;pvc;8
13.05.2017;D;Hermelin;S04;;12:59:17;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0302I52.JPG;12:59:18;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0302I59.JPG;00:00:01;;;;versuchsphase;1/300;12;8;pvc;8
13.05.2017;D;Hermelin;S04;;15:01:55;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0358I00.JPG;15:01:57;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0358I12.JPG;00:00:02;;TRUE;Tier taucht plötzlich auf;versuchsphase;1/300;12;8;pvc;8
13.05.2017;D;Hermelin;S04;;15:05:25;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0360I00.JPG;15:05:29;Daten_Erhebung\2017_05_13_Stichprobentests\Gehege_D_S04\S04\S0360I35.JPG;00:00:04;;;2 Tiere, fight;versuchsphase;1/300;12;8;pvc;8
11.05.2017;E;Mauswiesel;S04;;11:28:47;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0186I09.JPG;11:28:49;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0186I20.JPG;00:00:02;;;;versuchsphase;1/400;12;8;pvc;8
11.05.2017;E;Mauswiesel;S04;;11:28:51;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0186I41.JPG;11:28:53;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0186I59.JPG;00:00:02;;TRUE;Tier verschwindet plötzlich;versuchsphase;1/400;12;8;pvc;8
11.05.2017;E;Mauswiesel;S04;;11:31:51;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0187I00.JPG;11:31:58;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0187I59.JPG;00:00:07;;TRUE;Tier verschwindet plötzlich;versuchsphase;1/400;12;8;pvc;8
11.05.2017;E;Mauswiesel;S04;;11:40:56;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0194I00.JPG;11:40:58;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0194I20.JPG;00:00:02;TRUE;;Tier taucht plötzlich auf;versuchsphase;1/400;12;8;pvc;8
11.05.2017;E;Mauswiesel;S04;;11:44:49;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0196I00.JPG;11:44:49;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0196I01.JPG;00:00:00;TRUE;;Tier taucht plötzlich auf;versuchsphase;1/400;12;8;pvc;8
11.05.2017;E;Mauswiesel;S04;;11:49:56;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0197I34.JPG;11:49:59;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0197I59.JPG;00:00:03;;;;versuchsphase;1/400;12;8;pvc;8
11.05.2017;E;Mauswiesel;S04;;11:57:17;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0200I01.JPG;11:57:20;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0200I29.JPG;00:00:03;;;;versuchsphase;1/400;12;8;pvc;8
11.05.2017;E;Mauswiesel;S04;;12:01:20;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0201I00.JPG;12:01:25;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0201I37.JPG;00:00:05;;;;versuchsphase;1/400;12;8;pvc;8
11.05.2017;E;Mauswiesel;S04;;12:01:27;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0201I54.JPG;12:01:27;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0201I59.JPG;00:00:00;;TRUE;Tier verschwindet plötzlich;versuchsphase;1/400;12;8;pvc;8
11.05.2017;E;Mauswiesel;S04;;13:49:36;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0203I02.JPG;13:49:42;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0203I59.JPG;00:00:06;;TRUE;Tier verschwindet plötzlich;versuchsphase;1/400;12;8;pvc;8
11.05.2017;E;Mauswiesel;S04;;13:57:03;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0205I02.JPG;13:57:10;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0205I59.JPG;00:00:07;;TRUE;Tier verschwindet plötzlich;versuchsphase;1/400;12;8;pvc;8
11.05.2017;E;Mauswiesel;S04;;14:00:10;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0206I00.JPG;14:00:16;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0206I51.JPG;00:00:06;;;;versuchsphase;1/400;12;8;pvc;8
11.05.2017;E;Mauswiesel;S04;;14:47:01;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0208I02.JPG;14:47:08;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0208I59.JPG;00:00:07;;TRUE;Tier verschwindet plötzlich;versuchsphase;1/400;12;8;pvc;8
11.05.2017;E;Mauswiesel;S04;;15:12:01;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0210I08.JPG;15:12:07;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0210I59.JPG;00:00:06;;TRUE;Tier verschwindet plötzlich;versuchsphase;1/400;12;8;pvc;8
11.05.2017;E;Mauswiesel;S04;;15:19:28;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0212I10.JPG;15:19:32;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0212I48.JPG;00:00:04;;;;versuchsphase;1/400;12;8;pvc;8
11.05.2017;E;Mauswiesel;S04;;15:36:17;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0214I00.JPG;15:36:24;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0214I59.JPG;00:00:07;;TRUE;Tier verschwindet plötzlich;versuchsphase;1/400;12;8;pvc;8
11.05.2017;E;Mauswiesel;S04;;15:41:05;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0216I07.JPG;15:41:10;Daten_Erhebung\2017_05_11_Mauswiesel\Gehege_E_S04\S04\S0216I44.JPG;00:00:05;;;;versuchsphase;1/400;12;8;pvc;8
